283.56 	102.19 	1
282.76 	199.71 	1
283.60 	204.86 	1
277.36 	73.05 	1
277.94 	78.91 	1
277.56 	85.83 	1
277.25 	91.86 	1
277.09 	96.59 	1
277.39 	102.29 	1
276.93 	109.13 	1
277.19 	114.60 	1
276.18 	120.53 	1
276.08 	126.30 	1
276.67 	132.68 	1
276.45 	169.48 	1
277.64 	174.40 	1
276.11 	181.43 	1
277.28 	187.08 	1
277.37 	192.33 	1
276.52 	198.97 	0
276.98 	205.97 	0
277.22 	210.31 	1
276.95 	216.03 	1
276.25 	223.70 	1
277.34 	228.74 	1
276.28 	234.45 	1
271.97 	54.88 	1
271.98 	61.03 	1
270.93 	67.46 	1
270.58 	73.83 	0
271.17 	79.64 	0
270.11 	85.67 	0
271.26 	90.56 	0
270.18 	97.75 	0
270.59 	103.42 	0
271.54 	109.56 	0
270.25 	114.33 	0
270.77 	120.08 	0
270.86 	127.59 	0
271.75 	132.77 	0
271.71 	138.34 	1
271.66 	145.18 	1
270.47 	151.40 	1
270.70 	156.11 	1
271.04 	163.28 	1
270.76 	169.68 	0
271.99 	175.85 	0
270.14 	181.84 	0
271.55 	186.91 	0
270.70 	192.45 	0
270.93 	198.50 	0
271.25 	205.85 	0
271.65 	211.09 	0
270.93 	217.56 	0
270.58 	223.17 	0
271.38 	228.38 	0
270.86 	235.78 	0
271.02 	241.14 	1
270.88 	246.69 	1
265.95 	49.20 	1
265.54 	55.79 	0
265.05 	60.62 	0
265.90 	66.57 	0
265.06 	73.68 	0
264.96 	78.27 	0
265.91 	85.62 	0
265.36 	90.31 	0
265.05 	96.44 	0
264.56 	103.22 	0
265.45 	108.94 	0
264.41 	114.07 	0
265.76 	121.27 	0
265.67 	127.24 	0
264.48 	132.05 	0
264.72 	138.18 	0
264.45 	144.15 	0
265.50 	150.01 	0
264.74 	156.82 	0
264.63 	162.30 	0
265.05 	168.69 	0
264.99 	175.13 	0
265.19 	181.81 	0
264.97 	186.00 	0
265.71 	194.00 	0
264.11 	198.86 	0
264.39 	204.95 	0
265.30 	211.89 	0
265.89 	216.21 	0
264.21 	223.29 	0
264.40 	229.10 	0
264.45 	235.49 	0
264.74 	241.30 	0
264.99 	246.19 	0
264.10 	252.34 	1
264.04 	258.68 	1
259.03 	36.06 	1
258.31 	43.73 	1
258.37 	48.33 	0
259.86 	54.81 	0
258.75 	60.37 	0
258.87 	67.86 	0
258.41 	73.52 	0
